,Date,Type,Distance_km,Hours,Minutes,Seconds,Time_h,Calories,ElevGain_m,AvgSpeed_km/h,Year,Month
98,12/20/2018,Cycling,26.06,1,20,19,1.338611111,433,,19.46793941,2018,12
99,12/23/2018,Cycling,30.72,1,34,24,1.573333333,510,,19.52542373,2018,12
100,12/26/2018,Running,10.53,0,54,57,0.915833333,625,,11.4977252,2018,12
101,12/28/2018,Walking,4.78,1,0,8,1.002222222,279,,4.76940133,2018,12
102,12/29/2018,Running,6.22,0,41,30,0.691666667,489,,8.992771084,2018,12
103,12/30/2018,Walking,4.67,0,56,44,0.945555556,295,,4.938895417,2018,12
104,12/31/2018,Cycling,23.76,1,10,5,1.168055556,655,,20.34149822,2018,12
105,1/1/2019,Cycling,26.67,1,20,40,1.344444444,410,426,19.83719008,2019,1
106,1/3/2019,Running,10.09,0,54,23,0.906388889,574,196,11.13208704,2019,1
107,1/5/2019,Cycling,29.47,1,24,30,1.408333333,470,500,20.92544379,2019,1
108,1/6/2019,Walking,4.56,0,53,45,0.895833333,186,49,5.090232558,2019,1
109,1/8/2019,Running,13.46,1,16,14,1.270555556,781,112,10.59379099,2019,1
110,1/11/2019,Walking,4.71,0,54,33,0.909166667,248,50,5.180568286,2019,1
111,1/12/2019,Walking,4.72,0,58,3,0.9675,256,50,4.878552972,2019,1
112,1/13/2019,Running,10.01,0,54,33,0.909166667,577,195,11.01008249,2019,1
113,1/17/2019,Running,10.05,0,55,47,0.929722222,581,196,10.80968031,2019,1
114,1/26/2019,Running,10.14,0,57,19,0.955277778,588,197,10.61471358,2019,1
115,2/9/2019,Running,10.03,0,53,36,0.893333333,575,145,11.22761194,2019,2
116,2/12/2019,Running,10.04,0,52,46,0.879444444,574,144,11.41629817,2019,2
117,2/14/2019,Running,10.03,0,52,39,0.8775,574,143,11.43019943,2019,2
118,2/19/2019,Running,10.01,0,50,48,0.846666667,571,144,11.82283465,2019,2
119,2/24/2019,Running,7.53,0,39,0,0.65,430,107,11.58461538,2019,2
120,3/9/2019,Running,7.53,0,40,2,0.667222222,432,107,11.28559534,2019,3
121,3/26/2019,Running,7.3,0,39,59,0.666388889,420,108,10.9545644,2019,3
122,3/28/2019,Running,7.61,0,40,42,0.678333333,436,106,11.21867322,2019,3
123,3/30/2019,Running,7.51,0,40,34,0.676111111,431,109,11.10764174,2019,3
124,4/4/2019,Running,10.12,0,53,55,0.898611111,580,145,11.2618238,2019,4
125,4/13/2019,Running,7.64,0,42,52,0.714444444,442,139,10.69362364,2019,4
126,4/16/2019,Running,7.75,0,45,16,0.754444444,452,150,10.2724595,2019,4
127,4/18/2019,Running,10.02,0,57,3,0.950833333,581,198,10.53812445,2019,4
128,4/20/2019,Running,10.03,0,58,48,0.98,586,197,10.23469388,2019,4
129,4/28/2019,Running,6.125,0,32,59,0.549722222,352,83,11.1419909,2019,4
130,5/21/2019,Running,7.537,0,41,30,0.691666667,458,111,10.89686747,2019,5
131,5/25/2019,Running,7.537,0,40,15,0.670833333,431,111,11.2352795,2019,5
132,5/28/2019,Running,7.537,0,42,10,0.702777778,440,111,10.72458498,2019,5
133,6/3/2019,Running,7.77,0,45,43,0.761944444,454,143,10.19759388,2019,6
134,6/5/2019,Running,7.75,0,43,43,0.728611111,449,114,10.63667556,2019,6
135,6/7/2019,Running,7.65,0,42,55,0.715277778,442,147,10.69514563,2019,6
136,6/12/2019,Running,7.78,0,44,28,0.741111111,452,149,10.49775112,2019,6
137,6/14/2019,Running,7.68,0,41,59,0.699722222,442,150,10.97578404,2019,6
138,6/16/2019,Running,7.83,0,44,54,0.748333333,455,143,10.46325167,2019,6
139,6/18/2019,Running,7.64,0,42,33,0.709166667,441,143,10.77320799,2019,6
140,6/23/2019,Running,7.7,0,42,20,0.705555556,444,144,10.91338583,2019,6
141,6/25/2019,Running,10.08,0,59,28,0.991111111,589,211,10.17040359,2019,6
142,7/1/2019,Running,10.12,0,57,38,0.960555556,587,204,10.53556969,2019,7
143,7/3/2019,Running,10.1,0,58,4,0.967777778,586,211,10.43628014,2019,7
